13:22; lunes; abril 20; 2026
Nombre de estudio:Análisis estático 1
Unidades: mm
Referencia seleccionada: Todos
Nodo  ;X (mm)  ;Y (mm)  ;Z (mm)  ;UX (mm)
10934  ;-6,13359  ;0  ;5,29523  ;-7,27570e-07
38  ;-10  ;0  ;7  ;-7,27594e-07
20  ;0  ;0  ;7  ;-7,27717e-07
5726  ;-7,35034  ;0  ;6,03439  ;-7,27720e-07
9986  ;-2,65334  ;0  ;6,04161  ;-7,27834e-07
8881  ;-0,887995  ;0  ;7,01438  ;-7,28249e-07
5684  ;-9,10938  ;0  ;7,02368  ;-7,28251e-07
133  ;-5,01679  ;0  ;5,14482  ;-7,28320e-07
6866  ;-3,57276  ;0  ;5,6548  ;-7,29272e-07
6601  ;-6,42412  ;0  ;5,65594  ;-7,29290e-07
5683  ;-9,54239  ;0  ;7,27368  ;-7,29294e-07
5725  ;-6,83048  ;0  ;5,92857  ;-7,29294e-07
8945  ;-3,17046  ;0  ;5,92885  ;-7,29298e-07
7554  ;-0,454982  ;0  ;7,26438  ;-7,29339e-07
84  ;-8,27309  ;0  ;7,02498  ;-7,29548e-07
7318  ;-7,81723  ;0  ;6,77476  ;-7,29654e-07
98  ;-1,73896  ;0  ;7,02867  ;-7,29671e-07
8948  ;-2,19307  ;0  ;6,7819  ;-7,29748e-07
10784  ;-4,64396  ;0  ;5,35771  ;-7,29918e-07
11187  ;-5,37869  ;0  ;5,36816  ;-7,29973e-07
114  ;-7,36138  ;0  ;6,52454  ;-7,30037e-07
6539  ;-8,67893  ;0  ;7,28617  ;-7,30092e-07
8880  ;-1,32446  ;0  ;7,27871  ;-7,30121e-07
103  ;-2,64719  ;0  ;6,53512  ;-7,30130e-07
11224  ;-10  ;0  ;7,5  ;-7,30479e-07
8958  ;0  ;0  ;7,5  ;-7,30590e-07
131  ;-4,27112  ;0  ;5,5706  ;-7,30769e-07
132  ;-5,74059  ;0  ;5,59149  ;-7,30888e-07
54  ;-0,909964  ;0  ;7,52875  ;-7,30907e-07
64  ;-9,08478  ;0  ;7,54736  ;-7,30943e-07
7317  ;-7,87641  ;0  ;7,22819  ;-7,31154e-07
9955  ;-2,1623  ;0  ;7,24722  ;-7,31347e-07
